Rk,Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary,Name-additional
498,Juan Soto*,24,SDP,NL,65,283,225,34,58,16,0,10,32,6,1,56,59,.258,.406,.462,.869,146,104,4,1,0,1,5,*7/H,sotoju01
499,Livan Soto*,23,LAA,AL,4,12,9,2,2,0,0,0,0,0,0,3,2,.222,.417,.222,.639,85,2,0,0,0,0,0,/46,sotoli01
500,George Springer,33,TOR,AL,65,281,254,36,65,8,1,9,26,10,2,25,44,.256,.327,.402,.729,106,102,9,2,0,0,0,*9/DH,springe01
501,Jacob Stallings,33,MIA,NL,32,107,93,7,15,6,0,0,8,0,0,10,27,.161,.238,.226,.464,29,21,3,0,2,2,0,2/1DH,stallja01
502,Giancarlo Stanton,33,NYY,AL,20,78,73,9,17,4,0,5,12,0,0,4,17,.233,.282,.493,.775,110,36,1,1,0,0,0,D/9H,stantmi03
503,Spencer Steer,25,CIN,NL,63,268,234,35,66,17,2,8,35,5,2,27,48,.282,.362,.474,.836,120,111,4,4,0,3,0,35/D7H,steersp01
504,Tyler Stephenson,26,CIN,NL,64,259,229,29,57,11,1,4,30,0,1,26,68,.249,.332,.358,.690,84,82,7,3,0,1,1,D2/3H,stephty01
505,Cal Stevenson*,26,SFG,NL,6,12,9,1,0,0,0,0,0,0,0,3,2,.000,.250,.000,.250,-22,0,0,0,0,0,0,/8,steveca01
506,Bryson Stott*,25,PHI,NL,62,274,253,26,74,11,1,5,23,9,1,16,48,.292,.336,.403,.739,104,102,6,2,0,3,0,*4/H,stottbr01
507,Kyle Stowers*,25,BAL,AL,14,33,30,1,2,0,0,0,0,0,0,3,12,.067,.152,.067,.218,-35,2,1,0,0,0,0,/97HD,stoweky01
508,Myles Straw,28,CLE,AL,63,236,210,26,50,10,2,0,11,10,1,22,47,.238,.312,.305,.617,76,64,6,1,2,1,0,*8,strawmy01
509,Garrett Stubbs*,30,PHI,NL,14,40,38,3,9,1,1,0,3,0,0,1,14,.237,.275,.316,.591,63,12,0,1,0,0,0,2/H,stubbga01
510,Eugenio Suárez,31,SEA,AL,64,274,235,23,50,7,0,6,37,1,1,30,79,.213,.310,.319,.629,81,75,4,5,0,4,0,*5/D,suareeu01
511,Brett Sullivan*,29,SDP,NL,21,49,47,4,8,3,0,1,5,0,0,1,13,.170,.184,.298,.482,33,14,0,0,0,1,0,2/H,sullibr01
512,Brent Suter*,33,COL,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,suterbr01
513,Jack Suwinski*,24,PIT,NL,55,206,172,27,42,8,0,13,33,6,1,30,66,.244,.354,.517,.872,136,89,1,1,0,3,0,*897/H,suwinja01
514,Seiya Suzuki,28,CHC,NL,50,207,180,21,50,11,1,6,19,1,4,25,54,.278,.367,.450,.817,123,81,5,1,0,1,1,*9/DH,suzukse01
515,Dansby Swanson,29,CHC,NL,64,283,248,29,63,13,2,6,26,4,1,34,67,.254,.346,.395,.741,103,98,2,1,0,0,0,*6,swansda01
516,Domingo Tapia,31,SDP,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,tapiado01
517,Raimel Tapia*,29,BOS,AL,39,97,87,14,23,4,1,1,10,6,1,9,19,.264,.333,.368,.701,90,32,1,0,0,0,0,H7/89D,tapiara01
518,Fernando Tatis Jr.,24,SDP,NL,45,208,191,29,52,11,0,12,32,8,1,15,38,.272,.327,.518,.845,134,99,3,1,0,1,0,*9/8,tatisfe02
519,Mike Tauchman*,32,CHC,NL,21,73,58,6,15,3,0,0,6,2,1,12,15,.259,.389,.310,.699,96,18,0,1,1,1,0,8/H,tauchmi01
520,Leody Taveras#,24,TEX,AL,50,193,174,31,51,10,2,5,26,5,3,16,39,.293,.354,.460,.814,124,80,1,1,1,1,0,*8/HD,taverle01
521,Chris Taylor,32,LAD,NL,53,166,151,25,31,6,1,10,22,7,0,12,60,.205,.271,.457,.728,92,69,1,2,0,1,1,675H/84D,tayloch03
522,Michael A. Taylor,32,MIN,AL,60,182,169,23,39,7,0,9,21,11,0,9,63,.231,.276,.432,.708,94,73,5,2,1,1,0,*8/H,taylomi02
523,Tyrone Taylor,29,MIL,NL,27,78,75,5,12,3,0,1,4,4,0,2,21,.160,.179,.240,.419,15,18,4,0,0,1,0,9/8H7,tayloty01
524,Rowdy Tellez*,28,MIL,NL,61,224,199,21,45,4,1,12,28,0,0,23,57,.226,.304,.437,.741,102,87,8,0,0,2,2,*3/HD,tellero01
525,Matt Thaiss*,28,LAA,AL,46,141,120,19,33,6,0,3,18,1,0,18,39,.275,.376,.400,.776,115,48,1,2,0,1,0,2H/3D,thaisma01
526,Alek Thomas*,23,ARI,NL,39,123,113,14,22,5,2,2,10,3,1,8,27,.195,.252,.327,.579,59,37,3,1,0,1,0,8/HD,thomaal01
527,Lane Thomas,27,WSN,NL,62,268,247,42,69,13,2,9,30,6,1,17,69,.279,.332,.457,.790,120,113,2,3,0,1,0,*9/81,thomala02
528,Bubba Thompson,25,TEX,AL,36,60,53,10,9,4,1,0,4,4,2,4,16,.170,.237,.283,.520,44,15,0,1,1,1,0,7H/9D8,thompbu01
529,Trayce Thompson,32,LAD,NL,36,87,71,12,11,0,0,5,14,0,0,15,37,.155,.310,.366,.677,82,26,0,1,0,0,0,8H7/9D,thomptr01
530,Michael Toglia#,24,COL,NL,10,25,23,5,4,1,0,0,0,0,0,2,9,.174,.240,.217,.457,20,5,1,0,0,0,0,/3D7H,toglimi01
531,Justin Topa,32,SEA,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,topaju01
532,Spencer Torkelson,23,DET,AL,62,264,231,25,52,15,0,5,26,2,0,27,60,.225,.311,.355,.666,86,82,4,3,0,3,1,*3/D,torkesp01
533,Abraham Toro#,26,MIL,NL,5,9,8,1,4,0,0,1,5,0,0,0,3,.500,.556,.875,1.431,288,7,0,1,0,0,0,/5H,toroab01
534,Luis Torrens,27,CHC,NL,13,22,20,1,5,1,0,0,3,0,0,1,8,.250,.318,.300,.618,71,6,0,1,0,0,0,/DH27,torrelu01
535,Gleyber Torres,26,NYY,AL,66,278,245,39,62,8,1,11,28,6,5,29,36,.253,.331,.429,.760,110,105,5,1,0,3,0,*4/DH,torregl01
536,Ezequiel Tovar,21,COL,NL,63,234,221,30,56,18,1,5,27,3,1,11,67,.253,.295,.412,.707,81,91,2,2,0,0,0,*6,tovarez01
537,Taylor Trammell*,25,SEA,AL,20,54,45,6,6,0,0,3,11,0,1,8,21,.133,.278,.333,.611,74,15,2,1,0,0,0,/7DH8,trammta01
538,Alan Trejo,27,COL,NL,41,119,112,10,27,8,0,0,13,4,0,5,27,.241,.271,.313,.584,51,35,2,0,1,1,0,4/56H1,trejoal01
539,Jose Trevino,30,NYY,AL,38,124,117,11,25,2,0,3,13,0,0,7,19,.214,.258,.308,.566,57,36,4,0,0,0,0,2/H,trevijo01
540,Chadwick Tromp,28,ATL,NL,6,16,16,1,2,1,0,0,1,0,0,0,7,.125,.125,.188,.313,-17,3,0,0,0,0,0,/2,trompch01
541,Mike Trout,31,LAA,AL,63,279,240,39,61,11,0,14,36,0,0,31,79,.254,.351,.475,.826,126,114,2,6,0,2,2,*8/DH,troutmi01
542,Kyle Tucker*,26,HOU,AL,64,267,231,25,62,13,0,8,38,10,1,29,36,.268,.345,.429,.773,113,99,6,0,0,4,2,*9/D,tuckeky01
543,Brice Turang*,23,MIL,NL,57,177,166,16,34,4,2,3,14,9,3,11,48,.205,.254,.307,.561,55,51,4,0,0,0,0,46/HD,turanbr02
544,Justin Turner,38,BOS,AL,63,271,238,34,63,12,0,8,27,3,0,27,41,.265,.347,.416,.763,106,99,5,4,0,2,0,D3/45H,turneju01
545,Trea Turner,30,PHI,NL,64,286,270,36,67,15,2,7,20,9,0,16,68,.248,.290,.396,.687,88,107,1,0,0,0,2,*6/D,turnetr01
546,Luis Urías,26,MIL,NL,7,25,19,0,1,1,0,0,1,0,0,3,6,.053,.280,.105,.385,13,2,0,3,0,0,0,/54H,uriaslu01
547,Ramón Urías,29,BAL,AL,43,152,136,17,37,12,0,2,20,3,1,11,40,.272,.349,.404,.753,111,55,4,5,0,0,0,54/HD3,uriasra01
548,Gio Urshela,31,LAA,AL,60,225,211,22,64,8,1,2,24,3,2,10,36,.303,.333,.379,.712,97,80,8,1,0,3,0,53/6H4,urshegi01
549,Enmanuel Valdez*,24,BOS,AL,33,101,94,9,22,4,0,4,11,4,1,5,27,.234,.280,.404,.684,83,38,2,1,0,0,0,4/H6,valdeen01
550,Ildemaro Vargas#,31,WSN,NL,21,57,55,10,17,3,1,2,10,0,0,1,2,.309,.321,.509,.831,129,28,4,0,1,0,0,/67H45,vargail01
551,Miguel Vargas,23,LAD,NL,61,235,200,30,45,14,3,6,28,3,2,30,46,.225,.329,.415,.744,99,83,1,2,0,2,0,*4/H3D,vargami01
552,Daulton Varsho*,26,TOR,AL,66,270,243,32,54,9,0,11,26,9,2,23,55,.222,.293,.395,.688,93,96,3,2,0,2,0,*78/DH,varshda01
553,Andrew Vaughn,25,CHW,AL,65,271,238,29,58,18,1,8,40,0,0,23,50,.244,.328,.429,.757,107,102,10,8,0,2,0,*3/DH,vaughan01
554,Terrin Vavra*,26,BAL,AL,27,56,49,9,12,0,0,0,5,1,0,5,12,.245,.315,.245,.560,61,12,5,0,2,0,0,9/7HD54,vavrate01
555,Christian Vázquez,32,MIN,AL,42,150,134,15,30,5,0,0,11,0,0,14,36,.224,.300,.261,.561,60,35,4,1,0,1,0,2/3H,vazquch01
556,Nelson Velázquez,24,CHC,NL,13,32,29,8,7,2,0,3,6,0,0,3,8,.241,.313,.621,.933,148,18,1,0,0,0,0,/DH987,velazne01
557,Alex Verdugo*,27,BOS,AL,62,275,245,42,70,19,2,5,24,3,2,25,36,.286,.360,.441,.801,116,108,4,4,0,1,1,*9/H,verdual01
558,Mark Vientos,23,NYM,NL,15,45,42,2,7,0,0,1,5,0,0,2,13,.167,.200,.238,.438,22,10,1,0,0,1,0,D/3H5,vientma01
559,Matt Vierling,26,DET,AL,46,175,162,14,39,6,0,4,15,4,4,11,36,.241,.297,.352,.649,81,57,2,2,0,0,0,*9/7H854,vierlma01
560,David Villar,26,SFG,NL,32,108,96,10,13,3,0,4,11,1,1,8,35,.135,.222,.292,.514,40,28,1,3,0,1,0,45/HD3,villada01
561,Meibrys Viloria*,26,CLE,AL,10,4,3,0,0,0,0,0,0,0,0,1,0,.000,.250,.000,.250,-20,0,1,0,0,0,0,2,vilorme01
562,Daniel Vogelbach*,30,NYM,NL,47,143,118,12,24,5,0,2,14,0,0,25,37,.203,.343,.297,.639,82,35,2,0,0,0,1,DH,vogelda01
563,Luke Voit,32,MIL,NL,22,74,68,5,15,3,0,0,4,2,0,4,27,.221,.284,.265,.548,53,18,3,2,0,0,0,3D/H,voitlu01
564,Anthony Volpe,22,NYY,AL,67,250,226,24,42,5,2,9,26,14,0,22,77,.186,.260,.345,.605,67,78,3,1,0,1,0,*6/H,volpean01
565,Jason Vosler*,29,CIN,NL,20,65,62,6,10,2,1,3,10,0,0,3,25,.161,.200,.371,.571,47,23,0,0,0,0,0,3/51H,vosleja01
566,LaMonte Wade Jr.*,29,SFG,NL,62,244,194,32,53,9,1,8,20,2,0,43,45,.273,.413,.454,.867,139,88,1,4,2,1,0,*37/H98,wadela01
567,Tyler Wade*,28,OAK,AL,10,16,13,1,1,0,0,0,0,4,0,3,8,.077,.250,.077,.327,1,1,0,0,0,0,0,/H6579D,wadety01
568,Christian Walker,32,ARI,NL,61,258,230,37,58,15,0,12,38,1,0,21,47,.252,.315,.474,.789,115,109,4,2,0,4,1,*3/DH,walkech02
569,Jordan Walker,21,STL,NL,29,113,104,12,29,4,0,4,15,2,1,6,24,.279,.336,.433,.769,111,45,2,3,0,0,0,9/7H,walkejo02
570,Chad Wallach,31,LAA,AL,26,70,65,9,17,1,0,4,8,0,0,5,23,.262,.314,.462,.776,111,30,3,0,0,0,0,2/HD,wallach01
571,Matt Wallner*,25,MIN,AL,11,25,19,3,7,1,0,1,4,1,1,3,4,.368,.520,.579,1.099,208,11,0,3,0,0,0,9/H,wallnma01
572,Taylor Walls#,26,TBR,AL,53,187,161,32,34,7,2,7,22,15,0,25,49,.211,.321,.410,.731,107,66,1,1,0,0,0,54/6H,wallsta01
573,Jared Walsh*,29,LAA,AL,20,60,49,3,6,3,0,0,4,0,0,11,20,.122,.283,.184,.467,33,9,1,0,0,0,0,3/H,walshja01
574,Taylor Ward,29,LAA,AL,61,255,225,35,54,7,0,8,25,2,2,21,56,.240,.314,.378,.692,90,85,5,5,0,4,0,*7/H,wardta01
575,Drew Waters#,24,KCR,AL,13,41,38,3,7,0,0,1,3,0,0,3,16,.184,.244,.263,.507,41,10,1,0,0,0,0,8/7,waterdr01
576,Joey Wendle*,33,MIA,NL,32,98,88,11,21,6,2,1,6,2,0,7,23,.239,.302,.386,.688,88,34,2,1,2,0,0,6/H,wendljo01
577,Eli White,29,ATL,NL,6,17,14,1,1,0,0,0,0,0,0,2,7,.071,.235,.071,.307,-11,1,0,1,0,0,0,/8H,whiteel04
578,Joey Wiemer,24,MIL,NL,64,218,196,26,43,12,0,8,23,10,1,21,62,.219,.294,.403,.697,90,79,3,0,0,1,0,*89/7,wiemejo01
579,Luke Williams,26,LAD,NL,4,10,10,0,1,0,0,0,0,1,0,0,3,.100,.100,.100,.200,-46,1,0,0,0,0,0,/61H,willilu01
580,Jesse Winker*,29,MIL,NL,39,127,108,11,22,3,0,0,13,0,0,15,31,.204,.315,.231,.546,55,25,0,3,0,1,0,DH/97,winkeje01
581,Patrick Wisdom,31,CHC,NL,55,206,182,30,36,6,1,14,28,2,1,22,79,.198,.288,.473,.760,104,86,3,1,1,0,0,5/DH973,wisdopa01
582,Brett Wisely*,24,SFG,NL,33,88,82,5,16,4,0,2,7,2,0,4,24,.195,.230,.317,.547,49,26,0,0,1,1,0,48/1H,wiselbr01
583,Bobby Witt,23,KCR,AL,64,277,264,37,63,9,4,10,28,20,5,11,59,.239,.271,.417,.687,87,110,3,1,0,1,0,*6/DH,wittbo02
584,Connor Wong,27,BOS,AL,47,149,136,22,32,12,0,6,15,1,1,9,47,.235,.297,.456,.753,100,62,2,3,1,0,0,*2/H4,wongco01
585,Kolten Wong*,32,SEA,AL,41,134,118,12,18,3,0,0,9,0,1,12,30,.153,.246,.178,.424,25,21,0,3,0,1,0,4/H,wongko01
586,Austin Wynns,32,TOT,NL,18,51,45,4,9,2,0,0,6,1,0,4,19,.200,.260,.244,.504,34,11,3,0,1,1,0,2,wynnsau01
587,Austin Wynns,32,SFG,NL,1,2,2,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0,/2,wynnsau01
588,Austin Wynns,32,LAD,NL,5,12,11,0,2,1,0,0,2,0,0,1,5,.182,.250,.273,.523,41,3,0,0,0,0,0,/2,wynnsau01
589,Austin Wynns,32,COL,NL,12,37,32,4,7,1,0,0,4,1,0,3,12,.219,.278,.250,.528,39,8,3,0,1,1,0,2,wynnsau01
590,Mike Yastrzemski*,32,SFG,NL,46,182,165,28,41,11,1,6,16,0,2,15,49,.248,.315,.436,.751,104,72,2,1,1,0,1,*89/7H,yastrmi01
591,Christian Yelich*,31,MIL,NL,63,268,233,44,60,10,0,8,26,16,2,32,63,.258,.354,.403,.758,110,94,5,3,0,0,3,*7/DH,yelicch01
592,Juan Yepez,25,STL,NL,20,46,42,5,9,1,0,2,2,0,1,3,13,.214,.283,.381,.664,82,16,0,1,0,0,0,/7DH9,yepezju01
593,Masataka Yoshida*,29,BOS,AL,58,256,227,34,68,15,1,7,33,3,0,25,26,.300,.375,.467,.842,127,106,8,3,0,1,0,7D,yoshima02
594,Seby Zavala,29,CHW,AL,39,100,94,8,15,1,0,4,10,1,0,5,40,.160,.200,.298,.498,35,28,2,0,0,1,0,2/H,zavalse01
595,Mike Zunino,32,CLE,AL,41,137,121,11,22,7,0,3,11,0,0,15,60,.182,.277,.314,.591,67,38,2,1,0,0,0,2,zuninmi01
,LgAvg per 600 PA,,,,164,600,535,72,132,27,2,18,69,11,3,52,136,.247,.319,.408,.727,,218,11,6,1,4,1,,-9999
